origin,lien,s_human,p_human,o_human,separation,s_original,p_original,o_original
databnf,http://data.bnf.fr/fr/12062835/henry_carton_de_wiart/,Henry Carton de Wiart,date Of Death,1951,,http://data.bnf.fr/ark:/12148/cb120628351#about,http://rdvocab.info/ElementsGr2/dateOfDeath,http://data.bnf.fr/date/1951/
databnf,http://data.bnf.fr/fr/12062835/henry_carton_de_wiart/,"Le Cardinal Mercier : archevêque de Malines, 1851-1926",Préfacier,Henry Carton de Wiart,,http://data.bnf.fr/ark:/12148/cb32356303h#Expression,http://data.bnf.fr/vocabulary/roles/r550,http://data.bnf.fr/ark:/12148/cb120628351#about
databnf,http://data.bnf.fr/fr/12062835/henry_carton_de_wiart/,Comte Carton de Wiart. Mes vacances au Brésil. Dessins au trait de N. V. Cambier,contributor,Henry Carton de Wiart,,http://data.bnf.fr/ark:/12148/cb31912068c#Expression,http://purl.org/dc/terms/contributor,http://data.bnf.fr/ark:/12148/cb120628351#about
databnf,http://data.bnf.fr/fr/12062835/henry_carton_de_wiart/,Souvenirs politiques 2,Auteur du texte,Henry Carton de Wiart,,http://data.bnf.fr/ark:/12148/cb34983107j#Expression,http://data.bnf.fr/vocabulary/roles/r70,http://data.bnf.fr/ark:/12148/cb120628351#about
databnf,http://data.bnf.fr/fr/12062835/henry_carton_de_wiart/,La Cité ardente,Author,Henry Carton de Wiart,,http://data.bnf.fr/ark:/12148/cb354655299#Expression,http://id.loc.gov/vocabulary/relators/aut,http://data.bnf.fr/ark:/12148/cb120628351#about
databnf,http://data.bnf.fr/fr/12062835/henry_carton_de_wiart/,"Bouillon par Maurice Cosyn. Préface du Comte H. Carton de Wiart... En annexe ""Le Chevalier au cygne""... de Ch. Gailly de Taurines",contributor,Henry Carton de Wiart,,http://data.bnf.fr/ark:/12148/cb31972249w#Expression,http://purl.org/dc/terms/contributor,http://data.bnf.fr/ark:/12148/cb120628351#about
databnf,http://data.bnf.fr/fr/12062835/henry_carton_de_wiart/,H. Carton de Wiart. Le Bon combat...,contributor,Henry Carton de Wiart,,http://data.bnf.fr/ark:/12148/cb31912082x#Expression,http://purl.org/dc/terms/contributor,http://data.bnf.fr/ark:/12148/cb120628351#about
databnf,http://data.bnf.fr/fr/12062835/henry_carton_de_wiart/,Henry Carton de Wiart,editorial Note,"""Le nouveau dict. des Belges / sous la dir. de Thierry Denoël, 1992. - . - BN Cat. gén.. - . -""@fr .",,http://data.bnf.fr/ark:/12148/cb120628351,http://www.w3.org/2004/02/skos/core#editorialNote,"""Le nouveau dict. des Belges / sous la dir. de Thierry Deno\u00EBl, 1992. - . - BN Cat. g\u00E9n.. - . -""@fr ."
databnf,http://data.bnf.fr/fr/12062835/henry_carton_de_wiart/,Le Miroir de la Belgique,"Author of introduction, etc.",Henry Carton de Wiart,,http://data.bnf.fr/ark:/12148/cb33488447t#Expression,http://id.loc.gov/vocabulary/relators/aui,http://data.bnf.fr/ark:/12148/cb120628351#about
databnf,http://data.bnf.fr/fr/12062835/henry_carton_de_wiart/,Henry Carton de Wiart,given Name,"""Henry"" .",,http://data.bnf.fr/ark:/12148/cb120628351#about,http://xmlns.com/foaf/0.1/givenName,"""Henry"" ."
databnf,http://data.bnf.fr/fr/12062835/henry_carton_de_wiart/,H. Carton de Wiart. Souvenirs littéraires,Auteur du texte,Henry Carton de Wiart,,http://data.bnf.fr/ark:/12148/cb31912097z#Expression,http://data.bnf.fr/vocabulary/roles/r70,http://data.bnf.fr/ark:/12148/cb120628351#about
databnf,http://data.bnf.fr/fr/12062835/henry_carton_de_wiart/,"Albert 1er, le roi chevalier...",contributor,Henry Carton de Wiart,,http://data.bnf.fr/ark:/12148/cb31912078p#Expression,http://purl.org/dc/terms/contributor,http://data.bnf.fr/ark:/12148/cb120628351#about
databnf,http://data.bnf.fr/fr/12062835/henry_carton_de_wiart/,H. Carton de Wiart. Souvenirs littéraires,contributor,Henry Carton de Wiart,,http://data.bnf.fr/ark:/12148/cb31912097z#Expression,http://purl.org/dc/terms/contributor,http://data.bnf.fr/ark:/12148/cb120628351#about
databnf,http://data.bnf.fr/fr/12062835/henry_carton_de_wiart/,Les cariatides : roman historique,contributor,Henry Carton de Wiart,,http://data.bnf.fr/ark:/12148/cb319120869#Expression,http://purl.org/dc/terms/contributor,http://data.bnf.fr/ark:/12148/cb120628351#about
databnf,http://data.bnf.fr/fr/12062835/henry_carton_de_wiart/,Henry Carton de Wiart,language Of The Person,French,,http://data.bnf.fr/ark:/12148/cb120628351#about,http://rdvocab.info/ElementsGr2/languageOfThePerson,http://id.loc.gov/vocabulary/iso639-2/fre
databnf,http://data.bnf.fr/fr/12062835/henry_carton_de_wiart/,Henry Carton de Wiart,alt Label,"""Henry Carton de Wiart (1869-1951)""@fr .",,http://data.bnf.fr/ark:/12148/cb120628351,http://www.w3.org/2004/02/skos/core#altLabel,"""Henry Carton de Wiart (1869-1951)""@fr ."
databnf,http://data.bnf.fr/fr/12062835/henry_carton_de_wiart/,Henry Carton de Wiart,place Of Birth,"""Bruxelles"" .",,http://data.bnf.fr/ark:/12148/cb120628351#about,http://rdvocab.info/ElementsGr2/placeOfBirth,"""Bruxelles"" ."
databnf,http://data.bnf.fr/fr/12062835/henry_carton_de_wiart/,"La Vie et les voyages d'un ouvrier foulon du pays de Verviers au XVIIIe siècle, d'après un manuscrit inédit, par H. Carton de Wiart,...",contributor,Henry Carton de Wiart,,http://data.bnf.fr/ark:/12148/cb31912102q#Expression,http://purl.org/dc/terms/contributor,http://data.bnf.fr/ark:/12148/cb120628351#about
databnf,http://data.bnf.fr/fr/12062835/henry_carton_de_wiart/,H. Carton de Wiart. Contes hétéroclites...,Author,Henry Carton de Wiart,,http://data.bnf.fr/ark:/12148/cb319120927#Expression,http://id.loc.gov/vocabulary/relators/aut,http://data.bnf.fr/ark:/12148/cb120628351#about
databnf,http://data.bnf.fr/fr/12062835/henry_carton_de_wiart/,Nény et la vie belge au 18e siècle,contributor,Henry Carton de Wiart,,http://data.bnf.fr/ark:/12148/cb31912094x#Expression,http://purl.org/dc/terms/contributor,http://data.bnf.fr/ark:/12148/cb120628351#about
databnf,http://data.bnf.fr/fr/12062835/henry_carton_de_wiart/,"Comte Carton de Wiart,... Souvenirs politiques",Auteur du texte,Henry Carton de Wiart,,http://data.bnf.fr/ark:/12148/cb319120989#Expression,http://data.bnf.fr/vocabulary/roles/r70,http://data.bnf.fr/ark:/12148/cb120628351#about
databnf,http://data.bnf.fr/fr/12062835/henry_carton_de_wiart/,"Pour notre marine et pour nos marins, par Ch. Hervy-Cousin,... Préface de M. H. Carton de Wiart,...","Author of introduction, etc.",Henry Carton de Wiart,,http://data.bnf.fr/ark:/12148/cb30600539t#Expression,http://id.loc.gov/vocabulary/relators/aui,http://data.bnf.fr/ark:/12148/cb120628351#about
databnf,http://data.bnf.fr/fr/12062835/henry_carton_de_wiart/,Henry Carton de Wiart. Les Vertus bourgeoises...,Author,Henry Carton de Wiart,,http://data.bnf.fr/ark:/12148/cb36563281d#Expression,http://id.loc.gov/vocabulary/relators/aut,http://data.bnf.fr/ark:/12148/cb120628351#about
databnf,http://data.bnf.fr/fr/12062835/henry_carton_de_wiart/,La politique de l'honneur...,Author,Henry Carton de Wiart,,http://data.bnf.fr/ark:/12148/cb319120958#Expression,http://id.loc.gov/vocabulary/relators/aut,http://data.bnf.fr/ark:/12148/cb120628351#about
databnf,http://data.bnf.fr/fr/12062835/henry_carton_de_wiart/,Fastes militaires des Belges,Préfacier,Henry Carton de Wiart,,http://data.bnf.fr/ark:/12148/cb32023240k#Expression,http://data.bnf.fr/vocabulary/roles/r550,http://data.bnf.fr/ark:/12148/cb120628351#about
databnf,http://data.bnf.fr/fr/12062835/henry_carton_de_wiart/,La Belgique en Terre d'asile,contributor,Henry Carton de Wiart,,http://data.bnf.fr/ark:/12148/cb319120807#Expression,http://purl.org/dc/terms/contributor,http://data.bnf.fr/ark:/12148/cb120628351#about
databnf,http://data.bnf.fr/fr/12062835/henry_carton_de_wiart/,H. Carton de Wiart. Contes hétéroclites...,contributor,Henry Carton de Wiart,,http://data.bnf.fr/ark:/12148/cb319120927#Expression,http://purl.org/dc/terms/contributor,http://data.bnf.fr/ark:/12148/cb120628351#about
databnf,http://data.bnf.fr/fr/12062835/henry_carton_de_wiart/,"Léon Bloy. Inédits de Léon Bloy. Introduction de René Martineau. Présentation de Joseph Bollery, Comte Carton de Wiart, Georges Rouzet... 3 hors-texte et un dessin inédit de Bloy",contributor,Henry Carton de Wiart,,http://data.bnf.fr/ark:/12148/cb31828193b#Expression,http://purl.org/dc/terms/contributor,http://data.bnf.fr/ark:/12148/cb120628351#about
databnf,http://data.bnf.fr/fr/12062835/henry_carton_de_wiart/,"La Bataille de l'Yser, commémoration solennelle de son deuxième anniversaire (Le Havre, 29 octobre 1916)",contributor,Henry Carton de Wiart,,http://data.bnf.fr/ark:/12148/cb318709402#Expression,http://purl.org/dc/terms/contributor,http://data.bnf.fr/ark:/12148/cb120628351#about
databnf,http://data.bnf.fr/fr/12062835/henry_carton_de_wiart/,Fastes militaires des Belges,contributor,Henry Carton de Wiart,,http://data.bnf.fr/ark:/12148/cb32023240k#Expression,http://purl.org/dc/terms/contributor,http://data.bnf.fr/ark:/12148/cb120628351#about
databnf,http://data.bnf.fr/fr/12062835/henry_carton_de_wiart/,La Candidature de Philippe d'Orléans à la souveraineté des Provinces Belgiques en 1789 et 1790,contributor,Henry Carton de Wiart,,http://data.bnf.fr/ark:/12148/cb31912085z#Expression,http://purl.org/dc/terms/contributor,http://data.bnf.fr/ark:/12148/cb120628351#about
databnf,http://data.bnf.fr/fr/12062835/henry_carton_de_wiart/,Henry Carton de Wiart,gender,"""male"" .",,http://data.bnf.fr/ark:/12148/cb120628351#about,http://xmlns.com/foaf/0.1/gender,"""male"" ."
databnf,http://data.bnf.fr/fr/12062835/henry_carton_de_wiart/,Henry Carton de Wiart,family Name,"""Carton de Wiart"" .",,http://data.bnf.fr/ark:/12148/cb120628351#about,http://xmlns.com/foaf/0.1/familyName,"""Carton de Wiart"" ."
databnf,http://data.bnf.fr/fr/12062835/henry_carton_de_wiart/,H. Carton de Wiart. La Vocation d'Olivier Georges Destrée,Auteur du texte,Henry Carton de Wiart,,http://data.bnf.fr/ark:/12148/cb319121032#Expression,http://data.bnf.fr/vocabulary/roles/r70,http://data.bnf.fr/ark:/12148/cb120628351#about
databnf,http://data.bnf.fr/fr/12062835/henry_carton_de_wiart/,Beernaert et son temps,Author,Henry Carton de Wiart,,http://data.bnf.fr/ark:/12148/cb319120791#Expression,http://id.loc.gov/vocabulary/relators/aut,http://data.bnf.fr/ark:/12148/cb120628351#about
databnf,http://data.bnf.fr/fr/12062835/henry_carton_de_wiart/,Durendal,Publishing director,Henry Carton de Wiart,,http://data.bnf.fr/ark:/12148/cb32759261t#Expression,http://id.loc.gov/vocabulary/relators/pbd,http://data.bnf.fr/ark:/12148/cb120628351#about
databnf,http://data.bnf.fr/fr/12062835/henry_carton_de_wiart/,"Le Cardinal Mercier : archevêque de Malines, 1851-1926","Author of introduction, etc.",Henry Carton de Wiart,,http://data.bnf.fr/ark:/12148/cb32356303h#Expression,http://id.loc.gov/vocabulary/relators/aui,http://data.bnf.fr/ark:/12148/cb120628351#about
databnf,http://data.bnf.fr/fr/12062835/henry_carton_de_wiart/,"La Bataille de l'Yser, commémoration solennelle de son deuxième anniversaire (Le Havre, 29 octobre 1916)",Préfacier,Henry Carton de Wiart,,http://data.bnf.fr/ark:/12148/cb318709402#Expression,http://data.bnf.fr/vocabulary/roles/r550,http://data.bnf.fr/ark:/12148/cb120628351#about
databnf,http://data.bnf.fr/fr/12062835/henry_carton_de_wiart/,La politique de l'honneur...,contributor,Henry Carton de Wiart,,http://data.bnf.fr/ark:/12148/cb319120958#Expression,http://purl.org/dc/terms/contributor,http://data.bnf.fr/ark:/12148/cb120628351#about
databnf,http://data.bnf.fr/fr/12062835/henry_carton_de_wiart/,"De Slag aan den Yser, plechtige herdenking van de tweede verjaring (Havre, 29 october 1916)","Author of introduction, etc.",Henry Carton de Wiart,,http://data.bnf.fr/ark:/12148/cb31870950c#Expression,http://id.loc.gov/vocabulary/relators/aui,http://data.bnf.fr/ark:/12148/cb120628351#about
databnf,http://data.bnf.fr/fr/12062835/henry_carton_de_wiart/,Henry Carton de Wiart,exact Match,0000000107980513,,http://data.bnf.fr/ark:/12148/cb120628351,http://www.w3.org/2004/02/skos/core#exactMatch,http://isni.org/isni/0000000107980513
databnf,http://data.bnf.fr/fr/12062835/henry_carton_de_wiart/,Henry Carton de Wiart,alt Label,"""Henri Carton de Wiart (comte, 1869-1951)""@fr .",,http://data.bnf.fr/ark:/12148/cb120628351,http://www.w3.org/2004/02/skos/core#altLabel,"""Henri Carton de Wiart (comte, 1869-1951)""@fr ."
databnf,http://data.bnf.fr/fr/12062835/henry_carton_de_wiart/,Henry Carton de Wiart,last Year,"""1951""",,http://data.bnf.fr/ark:/12148/cb120628351#about,http://data.bnf.fr/ontology/bnf-onto/lastYear,"""1951""^^<http://www.w3.org/2001/XMLSchema#integer"
databnf,http://data.bnf.fr/fr/12062835/henry_carton_de_wiart/,Henry Carton de Wiart. La Cité ardente. Illustrations de Marie Howet,contributor,Henry Carton de Wiart,,http://data.bnf.fr/ark:/12148/cb31912091w#Expression,http://purl.org/dc/terms/contributor,http://data.bnf.fr/ark:/12148/cb120628351#about
databnf,http://data.bnf.fr/fr/12062835/henry_carton_de_wiart/,"Gaston Bernard et Victor Buissonville. Poètes-soldats, recueil de poèmes du front belge. Préface de M. H. Carton de Wiart,...","Author of introduction, etc.",Henry Carton de Wiart,,http://data.bnf.fr/ark:/12148/cb318887263#Expression,http://id.loc.gov/vocabulary/relators/aui,http://data.bnf.fr/ark:/12148/cb120628351#about
databnf,http://data.bnf.fr/fr/12062835/henry_carton_de_wiart/,J. de Bivort de La Saudée. L'Antireligion communiste,"Author of introduction, etc.",Henry Carton de Wiart,,http://data.bnf.fr/ark:/12148/cb31820843s#Expression,http://id.loc.gov/vocabulary/relators/aui,http://data.bnf.fr/ark:/12148/cb120628351#about
databnf,http://data.bnf.fr/fr/12062835/henry_carton_de_wiart/,Henry Carton de Wiart. La Cité ardente. Illustrations de Marie Howet,Auteur du texte,Henry Carton de Wiart,,http://data.bnf.fr/ark:/12148/cb31912091w#Expression,http://data.bnf.fr/vocabulary/roles/r70,http://data.bnf.fr/ark:/12148/cb120628351#about
databnf,http://data.bnf.fr/fr/12062835/henry_carton_de_wiart/,Le droit des nationalités,Contributeur,Henry Carton de Wiart,,http://data.bnf.fr/ark:/12148/cb357917996#Expression,http://data.bnf.fr/vocabulary/roles/r170,http://data.bnf.fr/ark:/12148/cb120628351#about
databnf,http://data.bnf.fr/fr/12062835/henry_carton_de_wiart/,Henry Carton de Wiart,place Of Death,"""Uccle, Belgique"" .",,http://data.bnf.fr/ark:/12148/cb120628351#about,http://rdvocab.info/ElementsGr2/placeOfDeath,"""Uccle, Belgique"" ."
databnf,http://data.bnf.fr/fr/12062835/henry_carton_de_wiart/,Henry Carton de Wiart. Les Vertus bourgeoises (au temps des États-Belgiques-Unis de 1790),contributor,Henry Carton de Wiart,,http://data.bnf.fr/ark:/12148/cb31912101c#Expression,http://purl.org/dc/terms/contributor,http://data.bnf.fr/ark:/12148/cb120628351#about
databnf,http://data.bnf.fr/fr/12062835/henry_carton_de_wiart/,Le droit des nationalités,contributor,Henry Carton de Wiart,,http://data.bnf.fr/ark:/12148/cb357917996#Expression,http://purl.org/dc/terms/contributor,http://data.bnf.fr/ark:/12148/cb120628351#about
databnf,http://data.bnf.fr/fr/12062835/henry_carton_de_wiart/,Henry Carton de Wiart,same As,"idref Carton de Wiart, Henry (1869-1951)",,http://data.bnf.fr/ark:/12148/cb120628351#about,http://www.w3.org/2002/07/owl#sameAs,http://www.idref.fr/028885449/id
databnf,http://data.bnf.fr/fr/12062835/henry_carton_de_wiart/,"Francisco Orozco Muñoz,... La Belgique violée, éphémérides de l'invasion. [Préface intitulée : ""Sans nom"", par Amado Nervo.] Traduit de l'espagnol par J.-N. Champeaux. Préface de H. Carton de Wiart",contributor,Henry Carton de Wiart,,http://data.bnf.fr/ark:/12148/cb31040726z#Expression,http://purl.org/dc/terms/contributor,http://data.bnf.fr/ark:/12148/cb120628351#about
databnf,http://data.bnf.fr/fr/12062835/henry_carton_de_wiart/,"H. Carton de Wiart. Les Vertus bourgeoises, roman historique",contributor,Henry Carton de Wiart,,http://data.bnf.fr/ark:/12148/cb319121001#Expression,http://purl.org/dc/terms/contributor,http://data.bnf.fr/ark:/12148/cb120628351#about
databnf,http://data.bnf.fr/fr/12062835/henry_carton_de_wiart/,"La Cité ardente, par Henry Carton de Wiart...",contributor,Henry Carton de Wiart,,http://data.bnf.fr/ark:/12148/cb31912090j#Expression,http://purl.org/dc/terms/contributor,http://data.bnf.fr/ark:/12148/cb120628351#about
databnf,http://data.bnf.fr/fr/12062835/henry_carton_de_wiart/,"Le Cardinal Mercier : archevêque de Malines, 1851-1926",contributor,Henry Carton de Wiart,,http://data.bnf.fr/ark:/12148/cb32356303h#Expression,http://purl.org/dc/terms/contributor,http://data.bnf.fr/ark:/12148/cb120628351#about
databnf,http://data.bnf.fr/fr/12062835/henry_carton_de_wiart/,Henry Carton de Wiart,modified,"""2013-07-25"" .",,http://data.bnf.fr/ark:/12148/cb120628351,http://purl.org/dc/terms/modified,"""2013-07-25"" ."
databnf,http://data.bnf.fr/fr/12062835/henry_carton_de_wiart/,"Comte Carton de Wiart,... Marguerite d'Autriche. Une princesse belge de la Renaissance",contributor,Henry Carton de Wiart,,http://data.bnf.fr/ark:/12148/cb319120671#Expression,http://purl.org/dc/terms/contributor,http://data.bnf.fr/ark:/12148/cb120628351#about
databnf,http://data.bnf.fr/fr/12062835/henry_carton_de_wiart/,"Gaston Bernard et Victor Buissonville. Poètes-soldats, recueil de poèmes du front belge. Préface de M. H. Carton de Wiart,...","Author of introduction, etc.",Henry Carton de Wiart,,http://data.bnf.fr/ark:/12148/cb31888725r#Expression,http://id.loc.gov/vocabulary/relators/aui,http://data.bnf.fr/ark:/12148/cb120628351#about
databnf,http://data.bnf.fr/fr/12062835/henry_carton_de_wiart/,"Albert 1er, le roi chevalier...",Auteur du texte,Henry Carton de Wiart,,http://data.bnf.fr/ark:/12148/cb31912078p#Expression,http://data.bnf.fr/vocabulary/roles/r70,http://data.bnf.fr/ark:/12148/cb120628351#about
databnf,http://data.bnf.fr/fr/12062835/henry_carton_de_wiart/,Souvenirs politiques,contributor,Henry Carton de Wiart,,http://data.bnf.fr/ark:/12148/cb343093860#Expression,http://purl.org/dc/terms/contributor,http://data.bnf.fr/ark:/12148/cb120628351#about
databnf,http://data.bnf.fr/fr/12062835/henry_carton_de_wiart/,Henry Carton de Wiart,exact Match,Viaf Henry Carton de Wiart,,http://data.bnf.fr/ark:/12148/cb120628351,http://www.w3.org/2004/02/skos/core#exactMatch,http://viaf.org/viaf/24623115/
databnf,http://data.bnf.fr/fr/12062835/henry_carton_de_wiart/,H. Carton de Wiart. Le droit à la joie,Auteur du texte,Henry Carton de Wiart,,http://data.bnf.fr/ark:/12148/cb41630605n#Expression,http://data.bnf.fr/vocabulary/roles/r70,http://data.bnf.fr/ark:/12148/cb120628351#about
databnf,http://data.bnf.fr/fr/12062835/henry_carton_de_wiart/,H. Carton de Wiart. Le droit à la joie,Author,Henry Carton de Wiart,,http://data.bnf.fr/ark:/12148/cb41630605n#Expression,http://id.loc.gov/vocabulary/relators/aut,http://data.bnf.fr/ark:/12148/cb120628351#about
databnf,http://data.bnf.fr/fr/12062835/henry_carton_de_wiart/,Henry Carton de Wiart,exact Match,028885449,,http://data.bnf.fr/ark:/12148/cb120628351,http://www.w3.org/2004/02/skos/core#exactMatch,http://www.idref.fr/028885449
databnf,http://data.bnf.fr/fr/12062835/henry_carton_de_wiart/,"Raymond Vander Burght. Joseph François, peintre belge, émule de David, 1759-1851. Les manuscrits de ses deux voyages en Italie. Les lettres du prince Louis et de la princesse Pauline d'Arenberg. Préface du Cte Henry Carton de Wiart",Préfacier,Henry Carton de Wiart,,http://data.bnf.fr/ark:/12148/cb31912108s#Expression,http://data.bnf.fr/vocabulary/roles/r550,http://data.bnf.fr/ark:/12148/cb120628351#about
databnf,http://data.bnf.fr/fr/12062835/henry_carton_de_wiart/,Quatrième congrès international de droit pénal... : actes du congrés,contributor,Henry Carton de Wiart,,http://data.bnf.fr/ark:/12148/cb32590169m#Expression,http://purl.org/dc/terms/contributor,http://data.bnf.fr/ark:/12148/cb120628351#about
databnf,http://data.bnf.fr/fr/12062835/henry_carton_de_wiart/,H. Carton de Wiart. La Cité ardente,contributor,Henry Carton de Wiart,,http://data.bnf.fr/ark:/12148/cb319120880#Expression,http://purl.org/dc/terms/contributor,http://data.bnf.fr/ark:/12148/cb120628351#about
databnf,http://data.bnf.fr/fr/12062835/henry_carton_de_wiart/,Bourrasque 48 : roman historique,Auteur du texte,Henry Carton de Wiart,,http://data.bnf.fr/ark:/12148/cb31912084m#Expression,http://data.bnf.fr/vocabulary/roles/r70,http://data.bnf.fr/ark:/12148/cb120628351#about
databnf,http://data.bnf.fr/fr/12062835/henry_carton_de_wiart/,"Luc Hommel... Une expérience d'union économique, bilan de dix années d'union économique belgo-luxembourgeoise. Préface du Comte Henry Carton de Wiart,... Introduction par M. Albert Calmes",contributor,Henry Carton de Wiart,,http://data.bnf.fr/ark:/12148/cb32255347q#Expression,http://purl.org/dc/terms/contributor,http://data.bnf.fr/ark:/12148/cb120628351#about
databnf,http://data.bnf.fr/fr/12062835/henry_carton_de_wiart/,"Francisco Orozco Muñoz,... La Belgique violée, éphémérides de l'invasion. [Préface intitulée : ""Sans nom"", par Amado Nervo.] Traduit de l'espagnol par J.-N. Champeaux. Préface de H. Carton de Wiart","Author of introduction, etc.",Henry Carton de Wiart,,http://data.bnf.fr/ark:/12148/cb31040726z#Expression,http://id.loc.gov/vocabulary/relators/aui,http://data.bnf.fr/ark:/12148/cb120628351#about
databnf,http://data.bnf.fr/fr/12062835/henry_carton_de_wiart/,H. Carton de Wiart. La Cité ardente. Roman historique. 11e édition,Auteur du texte,Henry Carton de Wiart,,http://data.bnf.fr/ark:/12148/cb31912089b#Expression,http://data.bnf.fr/vocabulary/roles/r70,http://data.bnf.fr/ark:/12148/cb120628351#about
databnf,http://data.bnf.fr/fr/12062835/henry_carton_de_wiart/,Henry Carton de Wiart. Les Vertus bourgeoises (au temps des États-Belgiques-Unis de 1790),Author,Henry Carton de Wiart,,http://data.bnf.fr/ark:/12148/cb31912101c#Expression,http://id.loc.gov/vocabulary/relators/aut,http://data.bnf.fr/ark:/12148/cb120628351#about
databnf,http://data.bnf.fr/fr/12062835/henry_carton_de_wiart/,H. Carton de Wiart. La Cité ardente. Roman historique. 11e édition,Author,Henry Carton de Wiart,,http://data.bnf.fr/ark:/12148/cb31912089b#Expression,http://id.loc.gov/vocabulary/relators/aut,http://data.bnf.fr/ark:/12148/cb120628351#about
databnf,http://data.bnf.fr/fr/12062835/henry_carton_de_wiart/,Henry Carton de Wiart. Les Vertus bourgeoises (au temps des États-Belgiques-Unis de 1790),Auteur du texte,Henry Carton de Wiart,,http://data.bnf.fr/ark:/12148/cb31912101c#Expression,http://data.bnf.fr/vocabulary/roles/r70,http://data.bnf.fr/ark:/12148/cb120628351#about
databnf,http://data.bnf.fr/fr/12062835/henry_carton_de_wiart/,Beernaert et son temps,contributor,Henry Carton de Wiart,,http://data.bnf.fr/ark:/12148/cb35592638m#Expression,http://purl.org/dc/terms/contributor,http://data.bnf.fr/ark:/12148/cb120628351#about
databnf,http://data.bnf.fr/fr/12062835/henry_carton_de_wiart/,Henry Carton de Wiart,same As,Henry Carton de Wiart,,http://data.bnf.fr/ark:/12148/cb120628351,http://www.w3.org/2002/07/owl#sameAs,http://wikidata.org/entity/Q14990
databnf,http://data.bnf.fr/fr/12062835/henry_carton_de_wiart/,H. Carton de Wiart. Le Bon combat... Publ. par Pierre Nothomb,Auteur du texte,Henry Carton de Wiart,,http://data.bnf.fr/ark:/12148/cb319120838#Expression,http://data.bnf.fr/vocabulary/roles/r70,http://data.bnf.fr/ark:/12148/cb120628351#about
databnf,http://data.bnf.fr/fr/12062835/henry_carton_de_wiart/,Fastes militaires des Belges,"Author of introduction, etc.",Henry Carton de Wiart,,http://data.bnf.fr/ark:/12148/cb32023240k#Expression,http://id.loc.gov/vocabulary/relators/aui,http://data.bnf.fr/ark:/12148/cb120628351#about
databnf,http://data.bnf.fr/fr/12062835/henry_carton_de_wiart/,Henry Carton de Wiart,biographical Information,"""Romancier et docteur en droit. - Homme politique"" .",,http://data.bnf.fr/ark:/12148/cb120628351#about,http://rdvocab.info/ElementsGr2/biographicalInformation,"""Romancier et docteur en droit. - Homme politique"" ."
databnf,http://data.bnf.fr/fr/12062835/henry_carton_de_wiart/,Saint Hubert,contributor,Henry Carton de Wiart,,http://data.bnf.fr/ark:/12148/cb31912096m#Expression,http://purl.org/dc/terms/contributor,http://data.bnf.fr/ark:/12148/cb120628351#about
databnf,http://data.bnf.fr/fr/12062835/henry_carton_de_wiart/,H. Carton de Wiart. La Cité ardente. Roman historique. 11e édition,contributor,Henry Carton de Wiart,,http://data.bnf.fr/ark:/12148/cb31912089b#Expression,http://purl.org/dc/terms/contributor,http://data.bnf.fr/ark:/12148/cb120628351#about
databnf,http://data.bnf.fr/fr/12062835/henry_carton_de_wiart/,Deplagaan der Yaar...,"Author of introduction, etc.",Henry Carton de Wiart,,http://data.bnf.fr/ark:/12148/cb31912105r#Expression,http://id.loc.gov/vocabulary/relators/aui,http://data.bnf.fr/ark:/12148/cb120628351#about
databnf,http://data.bnf.fr/fr/12062835/henry_carton_de_wiart/,Terre de débat,Author,Henry Carton de Wiart,,http://data.bnf.fr/ark:/12148/cb31912099n#Expression,http://id.loc.gov/vocabulary/relators/aut,http://data.bnf.fr/ark:/12148/cb120628351#about
databnf,http://data.bnf.fr/fr/12062835/henry_carton_de_wiart/,"Raymond Vander Burght. Joseph François, peintre belge, émule de David, 1759-1851. Les manuscrits de ses deux voyages en Italie. Les lettres du prince Louis et de la princesse Pauline d'Arenberg. Préface du Cte Henry Carton de Wiart",contributor,Henry Carton de Wiart,,http://data.bnf.fr/ark:/12148/cb31912108s#Expression,http://purl.org/dc/terms/contributor,http://data.bnf.fr/ark:/12148/cb120628351#about
databnf,http://data.bnf.fr/fr/12062835/henry_carton_de_wiart/,"Gaston Bernard et Victor Buissonville. Poètes-soldats, recueil de poèmes du front belge. Préface de M. H. Carton de Wiart,...",Préfacier,Henry Carton de Wiart,,http://data.bnf.fr/ark:/12148/cb31888725r#Expression,http://data.bnf.fr/vocabulary/roles/r550,http://data.bnf.fr/ark:/12148/cb120628351#about
databnf,http://data.bnf.fr/fr/12062835/henry_carton_de_wiart/,"La Belgique loyale, héroïque et malheureuse",contributor,Henry Carton de Wiart,,http://data.bnf.fr/ark:/12148/cb31849888b#Expression,http://purl.org/dc/terms/contributor,http://data.bnf.fr/ark:/12148/cb120628351#about
databnf,http://data.bnf.fr/fr/12062835/henry_carton_de_wiart/,"Francisco Orozco Muñoz,... La Belgique violée, éphémérides de l'invasion. [Préface intitulée : ""Sans nom"", par Amado Nervo.] Traduit de l'espagnol par J.-N. Champeaux. Préface de H. Carton de Wiart",Préfacier,Henry Carton de Wiart,,http://data.bnf.fr/ark:/12148/cb31040726z#Expression,http://data.bnf.fr/vocabulary/roles/r550,http://data.bnf.fr/ark:/12148/cb120628351#about
